timestamp,biosignal_0,biosignal_1,biosignal_2,biosignal_3,biosignal_4,biosignal_5,biosignal_6,biosignal_7,acceleration_x,acceleration_y,acceleration_z,angular_vec_x,angular_vec_y,angular_vec_z,magnetic_x,magnetic_y,magnetic_z,input_orientation_x,input_orientation_y,input_orientation_z,input_orientation_w,input_orientation_yaw,input_orientation_pitch,input_orientation_roll,input_projection_left,input_projection_top,input_projection_right,input_projection_bottom,prediction_time,predicted_orientation_x,predicted_orientation_y,predicted_orientation_z,predicted_orientation_w,predicted_orientation_yaw,predicted_orientation_pitch,predicted_orientation_roll,predicted_projection_left,predicted_projection_top,predicted_projection_right,predicted_projection_bottom
456189399689.00,0,0,0,0,0,0,0,0,-0.083799616,0.9877605,0.17883766,3.6904697,3.009405,1.443925,23.82,-33.96,-18.66,-0.090596322,-0.376699755,-0.015223671,0.921768865,-0.7683267,-0.156918034,-0.0964702,-1,1,1,-1,100,-0.088604517,-0.320041895,-0.017016103,0.943097413,-0.64729255,-0.15750387,-0.08892717,-1,1,1,-1
456201546946.00,0,0,0,0,0,0,0,0,-0.08404393,0.9877605,0.17834903,4.35547,3.4994051,1.5139248,24.3,-33.719997,-19.26,-0.08936626,-0.376182237,-0.015440693,0.922096622,-0.767279923,-0.154512227,-0.095858358,-1,1,1,-1,100,-0.086205788,-0.318220317,-0.017625183,0.943924725,-0.64356166,-0.15271102,-0.088253066,-1,1,1,-1
456214443197.00,0,0,0,0,0,0,0,0,-0.081845105,0.98678327,0.18005922,4.63547,3.7094052,1.2689251,24.42,-33.48,-19.14,-0.088405673,-0.375341295,-0.015918015,0.922523694,-0.765490115,-0.152450621,-0.095880933,-1,1,1,-1,100,-0.083672069,-0.320341796,-0.018046247,0.943426967,-0.6481873,-0.14741375,-0.08777061,-1,1,1,-1
456224317500.00,0,0,0,0,0,0,0,0,-0.0835553,0.99166954,0.18201374,4.7404695,3.954405,1.093925,24.66,-33.18,-18.48,-0.08776362,-0.374555537,-0.016386804,0.922896077,-0.763797939,-0.15098545,-0.096139364,-1,1,1,-1,100,-0.08147727,-0.324139476,-0.018116161,0.942319989,-0.656371,-0.14283545,-0.08707242,-1,1,1,-1
456236822903.00,0,0,0,0,0,0,0,0,-0.08477687,0.9914252,0.17932628,5.26547,4.514405,1.233925,24.66,-33.54,-18,-0.086741987,-0.373827911,-0.016748109,0.923281117,-0.762271047,-0.148884043,-0.095926628,-1,1,1,-1,100,-0.081093162,-0.329481423,-0.017459638,0.940510988,-0.6677735,-0.14203781,-0.08638676,-1,1,1,-1
456248365596.00,0,0,0,0,0,0,0,0,-0.09015177,0.9958228,0.18152511,5.1954703,5.214405,1.758925,24.48,-34.079998,-18.3,-0.085784948,-0.372677016,-0.017068701,0.92382977,-0.759830356,-0.146976784,-0.095622964,-1,1,1,-1,100,-0.080790922,-0.33368203,-0.0168909,0.939065456,-0.6767595,-0.14145273,-0.085745305,-1,1,1,-1
456261215495.00,0,0,0,0,0,0,0,0,-0.09577099,1.0019307,0.1864114,5.44047,5.984405,2.073925,24.42,-34.559998,-19.199999,-0.084594361,-0.371287866,-0.017277469,0.924494783,-0.756904483,-0.144738168,-0.094905987,-1,1,1,-1,100,-0.080062732,-0.339823991,-0.016515488,0.936929464,-0.689901,-0.13976462,-0.08546618,-1,1,1,-1
456271693357.00,0,0,0,0,0,0,0,0,-0.102123156,1.0180554,0.18616708,6.8754697,7.839405,2.6689248,24.66,-34.68,-18.539999,-0.082437765,-0.369130083,-0.018130671,0.92553675,-0.752342165,-0.140297771,-0.09456259,-1,1,1,-1,100,-0.079639919,-0.342921883,-0.01598073,0.935845375,-0.69657564,-0.1390447,-0.08463252,-1,1,1,-1
456283711136.00,0,0,0,0,0,0,0,0,-0.10578785,1.0143907,0.18494551,8.450469,9.344404,2.913925,24.18,-34.44,-18.359999,-0.080771307,-0.367346797,-0.018715758,0.926381156,-0.748578012,-0.136931852,-0.094157077,-1,1,1,-1,100,-0.080060408,-0.343061537,-0.015270852,0.935770214,-0.69690907,-0.14030701,-0.08360869,-1,1,1,-1
456295564130.00,0,0,0,0,0,0,0,0,-0.11238433,1.0151236,0.17932628,10.060471,11.654406,3.123925,23.88,-34.14,-18.359999,-0.077948317,-0.364323807,-0.019921836,0.927790571,-0.742191076,-0.13107422,-0.093901373,-1,1,1,-1,100,-0.080708757,-0.339773476,-0.014669847,0.936923027,-0.6899211,-0.14222723,-0.08242774,-1,1,1,-1
